"","Gene","SLE004","SLE005","SLE006","SLE007","SLE008"
"1","5S_rRNA",0,0,1,0,0
"2","5_8S_rRNA",1,0,0,0,0
"3","7SK",0,0,0,0,0
"4","A1BG",0,0,0,0,1
"5","A1BG-AS1",12,10,1,5,3
"6","A1CF",0,0,0,1,1
"7","A2M",25,0,5,1,0
"8","A2M-AS1",6,3,3,4,1
"9","A2ML1",0,0,0,0,0
"10","A2ML1-AS1",0,0,0,0,0
"11","A2ML1-AS2",0,0,0,0,0
"12","A2MP1",19,3,12,1,5
"13","A3GALT2",3,1,0,1,0
"14","A4GALT",1,1,0,1,0
"15","A4GNT",1,1,0,0,0
"16","AA06",0,0,0,0,0
"17","AAAS",188,145,127,110,162
"18","AACS",79,53,62,41,51
"19","AACSP1",0,0,0,0,1
"20","AADAC",0,0,0,0,0
"21","AADACL2",0,0,0,0,0
"22","AADACL2-AS1",0,0,0,0,0
"23","AADACL3",0,0,0,0,0
"24","AADACL4",0,0,0,0,0
"25","AADACP1",0,0,0,0,0
"26","AADAT",0,1,0,0,0
"27","AAED1",93,45,67,34,54
"28","AAGAB",261,174,324,166,132
"29","AAK1",740,449,522,436,208
"30","AAMDC",10,4,11,3,3
"31","AAMP",480,349,402,302,386
"32","AANAT",7,0,7,6,2
"33","AAR2",191,140,171,128,130
"34","AARD",0,0,1,0,0
"35","AARS",255,211,250,212,160
"36","AARS2",80,56,64,63,48
"37","AARSD1",9,7,3,3,8
"38","AARSP1",0,0,0,0,0
"39","AASDH",104,50,82,56,46
"40","AASDHPPT",193,119,177,117,71
"41","AASS",6,8,3,6,3
"42","AATBC",142,88,143,79,111
"43","AATF",459,313,402,282,316
"44","AATK",246,544,353,414,191
"45","AATK-AS1",0,0,0,0,0
"46","AB015752.3",0,0,0,0,0
"47","AB019438.66",1,0,0,0,0
"48","AB019440.50",0,0,0,0,0
"49","AB019441.29",10,0,7,0,3
"50","ABALON",3,7,20,14,22
"51","ABAT",241,195,230,146,88
"52","ABBA01037345.1",0,0,0,0,0
"53","ABBA01037346.1",0,0,0,0,0
"54","ABBA01037349.1",0,0,0,0,0
"55","ABC11-4932300O16.1",0,0,0,0,0
"56","ABC12-47043100G14.2",0,0,0,0,0
"57","ABC12-47964100C23.1",0,0,0,0,0
"58","ABC12-49244600F4.4",0,0,0,0,0
"59","ABC7-42391500H16.4",0,0,0,0,0
"60","ABC7-42404400C24.1",0,0,0,0,0
"61","ABC7-42418200C9.1",0,0,0,0,0
"62","ABC7-481722F1.1",1,0,0,0,0
"63","ABC7-481722F1.2",0,0,0,0,0
"64","ABCA1",771,301,369,178,40
"65","ABCA10",6,1,6,2,2
"66","ABCA11P",1,2,0,2,0
"67","ABCA12",1,0,0,1,0
"68","ABCA13",14,5,33,1,3
"69","ABCA17P",2,2,0,2,0
"70","ABCA2",984,743,638,631,417
"71","ABCA3",37,43,45,59,51
"72","ABCA4",0,0,0,0,0
"73","ABCA5",131,74,102,78,33
"74","ABCA6",2,2,5,1,0
"75","ABCA7",1494,1578,898,1095,850
"76","ABCA8",0,1,0,0,0
"77","ABCA9",0,3,2,1,3
"78","ABCA9-AS1",0,0,0,0,0
"79","ABCB1",108,117,92,107,48
"80","ABCB10",118,76,120,114,67
"81","ABCB10P1",0,0,0,0,0
"82","ABCB10P3",0,0,0,0,0
"83","ABCB10P4",0,0,0,0,0
"84","ABCB11",0,0,0,1,0
"85","ABCB4",10,8,3,15,12
"86","ABCB5",0,0,1,0,0
"87","ABCB6",4,2,4,2,4
"88","ABCB7",142,91,140,95,75
"89","ABCB8",174,132,113,117,101
"90","ABCB9",16,4,4,11,8
"91","ABCC1",501,386,413,424,314
"92","ABCC10",250,179,178,155,126
"93","ABCC11",1,0,0,1,0
"94","ABCC12",0,0,0,0,0
"95","ABCC13",10,27,51,28,46
"96","ABCC2",38,13,19,11,9
"97","ABCC3",92,171,62,194,171
"98","ABCC4",78,63,105,140,71
"99","ABCC5",387,244,218,207,106
"100","ABCC5-AS1",0,0,0,0,0
"101","ABCC6",23,15,8,8,7
"102","ABCC6P1",0,0,0,0,0
"103","ABCC6P2",0,0,0,0,0
"104","ABCC8",0,0,0,0,0
"105","ABCC9",0,0,0,0,0
"106","ABCD1",163,131,116,121,138
"107","ABCD1P2",0,1,0,0,0
"108","ABCD1P3",0,0,0,0,0
"109","ABCD1P4",0,0,0,0,0
"110","ABCD1P5",0,0,0,0,0
"111","ABCD2",106,88,127,75,36
"112","ABCD3",180,126,193,126,78
"113","ABCD4",269,187,149,192,129
"114","ABCE1",254,119,171,137,77
"115","ABCF1",466,340,343,283,300
"116","ABCF2",248,181,207,179,158
"117","ABCF2P1",0,0,0,0,0
"118","ABCF2P2",0,0,0,0,0
"119","ABCF3",327,292,273,214,189
"120","ABCG1",341,154,159,186,65
"121","ABCG2",11,4,8,8,7
"122","ABCG4",0,0,0,0,0
"123","ABCG5",0,0,0,0,0
"124","ABCG8",0,0,0,0,0
"125","ABHD1",6,9,1,2,1
"126","ABHD10",173,101,150,86,104
"127","ABHD11",49,39,48,40,46
"128","ABHD11-AS1",0,0,1,1,2
"129","ABHD12",127,96,105,90,127
"130","ABHD12B",20,1,8,1,3
"131","ABHD13",300,171,262,156,100
"132","ABHD14A",48,48,38,28,22
"133","ABHD14A-ACY1",1,0,0,0,0
"134","ABHD14B",258,221,194,223,198
"135","ABHD15",177,110,113,126,118
"136","ABHD15-AS1",0,0,0,0,0
"137","ABHD16A",35,32,26,25,16
"138","ABHD16B",0,0,0,0,0
"139","ABHD17A",465,384,322,329,250
"140","ABHD17AP1",0,1,1,0,1
"141","ABHD17AP3",0,0,0,1,0
"142","ABHD17AP4",0,0,0,0,1
"143","ABHD17AP5",3,2,3,7,0
"144","ABHD17AP6",1,0,2,0,0
"145","ABHD17AP7",0,0,0,0,0
